image_id,split,density,true_n,pred_n,dice,count_err
train_000,train,sparse,10,9,0.9691211401425178,-1
train_001,train,normal,29,27,0.9697024184122989,-2
train_002,train,normal,17,15,0.9780116519451231,-2
train_003,train,normal,36,28,0.976814439996979,-8
train_004,train,dense,85,46,0.9745942666464432,-39
train_005,train,clustered,52,16,0.9793103448275862,-36
train_006,train,sparse,5,5,0.9778270509977827,0
train_007,train,normal,19,17,0.9771110423755026,-2
train_008,train,normal,16,14,0.9793520228302837,-2
train_009,train,normal,21,20,0.9750276786812646,-1
train_010,train,dense,59,35,0.9769525611030913,-24
train_011,train,clustered,35,17,0.9762414981831734,-18
train_012,train,sparse,12,10,0.988628762541806,-2
train_013,train,normal,31,26,0.9796646450231894,-5
train_014,train,normal,35,29,0.9773159666325186,-6
train_015,train,normal,38,33,0.9794303797468354,-5
train_016,train,dense,46,32,0.9789068873091714,-14
train_017,train,clustered,42,16,0.9807305630026809,-26
train_018,train,sparse,7,7,0.9778072209340841,0
train_019,train,normal,33,26,0.9818971759594497,-7
train_020,train,normal,22,18,0.9811545801526718,-4
train_021,train,normal,15,15,0.9724452158819701,0
train_022,train,dense,50,33,0.9812440394193069,-17
train_023,train,clustered,53,15,0.9784667073915699,-38
train_024,train,sparse,9,8,0.9822904368358913,-1
train_025,train,normal,22,20,0.9786319382981413,-2
train_026,train,normal,30,23,0.9778329829925473,-7
train_027,train,normal,28,23,0.9797808652434203,-5
train_028,train,dense,51,36,0.9748669761123061,-15
train_029,train,clustered,35,20,0.9748702983138781,-15
train_030,train,sparse,8,8,0.9774393683023125,0
train_031,train,normal,30,26,0.977760047870749,-4
train_032,train,normal,18,15,0.9708920187793427,-3
train_033,train,normal,29,25,0.9759862778730704,-4
train_034,train,dense,76,37,0.9736655988684112,-39
train_035,train,clustered,52,13,0.977924459112578,-39
train_036,train,sparse,11,11,0.9812788718696815,0
train_037,train,normal,27,23,0.9742503622784527,-4
train_038,train,normal,32,26,0.9704683470593128,-6
train_039,train,normal,35,28,0.9782546082949308,-7
train_040,train,dense,82,52,0.9710399812404736,-30
train_041,train,clustered,45,25,0.9788753799392097,-20
train_042,train,sparse,8,8,0.9791755206119847,0
train_043,train,normal,25,21,0.9783307413167445,-4
train_044,train,normal,16,16,0.9715213221189317,0
train_045,train,normal,21,17,0.9784906129553649,-4
train_046,train,dense,84,42,0.9779165397502284,-42
train_047,train,clustered,53,13,0.9769643866591294,-40
train_048,train,sparse,9,9,0.9839228295819936,0
train_049,train,normal,39,22,0.9740385461585849,-17
train_050,train,normal,23,21,0.9772863120143455,-2
train_051,train,normal,30,27,0.9801324503311258,-3
train_052,train,dense,53,39,0.9792295196101184,-14
train_053,train,clustered,37,20,0.9701248209535502,-17
train_054,train,sparse,7,7,0.9820971867007673,0
train_055,train,normal,16,12,0.9771079740557039,-4
train_056,train,normal,19,18,0.974885145482389,-1
train_057,train,normal,27,22,0.9787131107885825,-5
train_058,train,dense,55,34,0.9714030882434919,-21
train_059,train,clustered,45,21,0.9810011564513464,-24
train_060,train,sparse,7,7,0.9830845771144279,0
train_061,train,normal,20,20,0.9741407528641571,0
train_062,train,normal,27,22,0.9738955823293173,-5
train_063,train,normal,33,26,0.9766820932716269,-7
train_064,train,dense,73,47,0.9796956466449069,-26
train_065,train,clustered,60,21,0.977798457856953,-39
train_066,train,sparse,7,6,0.9872773536895675,-1
train_067,train,normal,17,14,0.9766536964980544,-3
train_068,train,normal,39,26,0.9776291030733849,-13
train_069,train,normal,27,24,0.9815868764646802,-3
train_070,train,dense,53,35,0.9750610082733171,-18
train_071,train,clustered,34,17,0.9755779269202088,-17
train_072,train,sparse,8,8,0.97288842544317,0
train_073,train,normal,36,31,0.97415054462689,-5
train_074,train,normal,38,28,0.9752650176678446,-10
train_075,train,normal,22,21,0.9803921568627451,-1
train_076,train,dense,80,40,0.9788110212638514,-40
train_077,train,clustered,42,15,0.9745608140539502,-27
train_078,train,sparse,10,10,0.9708367402562006,0
train_079,train,normal,29,19,0.9804063860667634,-10
val_000,val,sparse,5,5,0.9760247486465584,0
val_001,val,normal,31,26,0.9714869930705441,-5
val_002,val,normal,17,16,0.9797454740993009,-1
val_003,val,normal,36,28,0.9747249479631281,-8
val_004,val,dense,81,45,0.9729291368990153,-36
val_005,val,clustered,48,18,0.9740735315658415,-30
val_006,val,sparse,9,8,0.97441793618856,-1
val_007,val,normal,29,21,0.9775811209439528,-8
val_008,val,normal,25,21,0.9805797378742944,-4
val_009,val,normal,20,20,0.9737056998203495,0
val_010,val,dense,64,44,0.9707364133347626,-20
val_011,val,clustered,32,14,0.9805585012371862,-18
val_012,val,sparse,8,8,0.978806907378336,0
val_013,val,normal,27,25,0.9734553258782334,-2
val_014,val,normal,21,17,0.9791840133222315,-4
val_015,val,normal,26,22,0.9774228531992507,-4
val_016,val,dense,62,37,0.9775292323335028,-25
val_017,val,clustered,49,19,0.9779894875164258,-30
val_018,val,sparse,7,7,0.9747829681686647,0
val_019,val,normal,19,19,0.9728915662650602,0
test_000,test,sparse,8,8,0.9804432855280313,0
test_001,test,normal,19,14,0.9718587560494713,-5
test_002,test,normal,31,26,0.980540635731267,-5
test_003,test,normal,21,19,0.9770114942528736,-2
test_004,test,dense,75,42,0.9773212000568747,-33
test_005,test,clustered,49,15,0.9747690396708331,-34
test_006,test,sparse,8,8,0.9672657252888318,0
test_007,test,normal,30,23,0.9741131351869607,-7
test_008,test,normal,28,23,0.9766338079591091,-5
test_009,test,normal,24,21,0.9771995708154506,-3
test_010,test,dense,78,37,0.9765287214329833,-41
test_011,test,clustered,30,20,0.9694130614494351,-10
